,channel1,channel2
429,1663846492940.0,7724.0
430,1663846492940.0,7724.0
431,1663846492940.0,7724.0
432,1663846492940.0,7724.0
433,1663846492940.0,7724.0
434,1663846492940.0,7724.0
435,1663846492940.0,7724.0
436,1663846502940.0,7722.0
437,1663846502940.0,7722.0
438,1663846502940.0,7722.0
439,1663846502940.0,7722.0
440,1663846502940.0,7722.0
441,1663846502940.0,7722.0
442,1663846502940.0,7722.0
443,1663846502940.0,7722.0
444,1663846502940.0,7722.0
445,1663846502940.0,7722.0
446,1663846512940.0,7700.0
447,1663846512940.0,7700.0
448,1663846512940.0,7700.0
449,1663846512940.0,7700.0
450,1663846512940.0,7700.0
451,1663846512940.0,7700.0
452,1663846512940.0,7700.0
453,1663846512940.0,7700.0
454,1663846512940.0,7700.0
455,1663846512940.0,7700.0
456,1663846522940.0,7707.0
457,1663846522940.0,7707.0
458,1663846522940.0,7707.0
459,1663846522940.0,7707.0
460,1663846522940.0,7707.0
461,1663846522940.0,7707.0
462,1663846522940.0,7707.0
463,1663846522940.0,7707.0
464,1663846522940.0,7707.0
465,1663846522940.0,7707.0
466,1663846532940.0,7709.0
467,1663846532940.0,7709.0
468,1663846532940.0,7709.0
469,1663846532940.0,7709.0
470,1663846532940.0,7709.0
471,1663846532940.0,7709.0
472,1663846532940.0,7709.0
473,1663846532940.0,7709.0
474,1663846532940.0,7709.0
475,1663846532940.0,7709.0
476,1663846542940.0,7748.0
477,1663846542940.0,7748.0
478,1663846542940.0,7748.0
479,1663846542940.0,7748.0
480,1663846542940.0,7748.0
481,1663846542940.0,7748.0
482,1663846542940.0,7748.0
483,1663846542940.0,7748.0
484,1663846542940.0,7748.0
485,1663846552940.0,7733.0
486,1663846552940.0,7733.0
487,1663846552940.0,7733.0
488,1663846552940.0,7733.0
489,1663846552940.0,7733.0
490,1663846552940.0,7733.0
491,1663846552940.0,7733.0
492,1663846552940.0,7733.0
493,1663846552940.0,7733.0
494,1663846552940.0,7733.0
495,1663846562940.0,7788.0
496,1663846562940.0,7788.0
497,1663846562940.0,7788.0
498,1663846562940.0,7788.0
499,1663846562940.0,7788.0
500,1663846562940.0,7788.0
501,1663846562940.0,7788.0
502,1663846562940.0,7788.0
503,1663846562940.0,7788.0
504,1663846562940.0,7788.0
505,1663846572940.0,7747.0
506,1663846572940.0,7747.0
507,1663846572940.0,7747.0
508,1663846572940.0,7747.0
509,1663846572940.0,7747.0
510,1663846572940.0,7747.0
511,1663846572940.0,7747.0
512,1663846572940.0,7747.0
513,1663846572940.0,7747.0
514,1663846572940.0,7747.0
515,1663846582940.0,7704.0
516,1663846582940.0,7704.0
517,1663846582940.0,7704.0
518,1663846582940.0,7704.0
519,1663846582940.0,7704.0
520,1663846582940.0,7704.0
521,1663846582940.0,7704.0
522,1663846582940.0,7704.0
523,1663846582940.0,7704.0
524,1663846582940.0,7704.0
525,1663846593940.0,7676.0
526,1663846593940.0,7676.0
527,1663846593940.0,7676.0
528,1663846593940.0,7676.0
529,1663846593940.0,7676.0
530,1663846593940.0,7676.0
531,1663846593940.0,7676.0
532,1663846593940.0,7676.0
533,1663846593940.0,7676.0
534,1663846593940.0,7676.0
535,1663846603940.0,7705.0
536,1663846603940.0,7705.0
537,1663846603940.0,7705.0
538,1663846603940.0,7705.0
539,1663846603940.0,7705.0
540,1663846603940.0,7705.0
541,1663846603940.0,7705.0
542,1663846603940.0,7705.0
543,1663846603940.0,7705.0
544,1663846603940.0,7705.0
545,1663846613940.0,7706.0
546,1663846613940.0,7706.0
547,1663846613940.0,7706.0
548,1663846613940.0,7706.0
549,1663846613940.0,7706.0
550,1663846613940.0,7706.0
551,1663846613940.0,7706.0
552,1663846613940.0,7706.0
553,1663846613940.0,7706.0
554,1663846623940.0,7717.0
555,1663846623940.0,7717.0
556,1663846623940.0,7717.0
557,1663846623940.0,7717.0
558,1663846623940.0,7717.0
559,1663846623940.0,7717.0
560,1663846623940.0,7717.0
561,1663846623940.0,7717.0
562,1663846623940.0,7717.0
563,1663846623940.0,7717.0
564,1663846633940.0,7580.0
